Method,Model,Accuracy,Precision,Recall,F1
etc,ANN,0.7851851851851852,0.7864471661992488,0.7851851851851852,0.7826958243106013
etc,CNN,0.7901234567901234,0.7996901239001163,0.7901234567901234,0.7924658090898854
