Method,Model,Accuracy,Precision,Recall,F1
mu,ANN,0.7679012345679013,0.767252074833614,0.7679012345679013,0.7664667277824072
mu,CNN,0.7925925925925926,0.8058779484803503,0.7925925925925926,0.7949905635168621
