Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.8493827160493828,0.8517747267684276,0.8493827160493828,0.8497039234964492
Gradient Boosting,0.8074074074074075,0.8106870949805393,0.8074074074074075,0.8083164035138459
KNN,0.7407407407407407,0.7449919712008842,0.7407407407407407,0.7422964563529824
Random Forest,0.782716049382716,0.7883873699111446,0.782716049382716,0.7839153394851904
Decision Tree,0.7111111111111111,0.7170397618897901,0.7111111111111111,0.7114250452647526
SVM,0.8074074074074075,0.8106948887637588,0.8074074074074075,0.8069908632231226
