Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.8197530864197531,0.8230643106543206,0.8197530864197531,0.8201039777031345,fscs,Logistic Regression,Grid,0.08097529411315918
0.7876543209876543,0.7912946790380925,0.7876543209876543,0.7859002979595634,fscs,Gradient Boosting,Grid,12.006664514541626
0.7679012345679013,0.7760397880711475,0.7679012345679013,0.7675053072651045,fscs,KNN,Grid,0.16695618629455566
0.7753086419753087,0.779227851901406,0.7753086419753087,0.7743982301603045,fscs,Random Forest,Grid,1.756917953491211
0.7012345679012346,0.7257542603661743,0.7012345679012346,0.70678965403314,fscs,Decision Tree,Grid,0.03839421272277832
0.8,0.8023881561584992,0.8,0.7993949919787962,fscs,SVM,Grid,0.6908981800079346
