Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.817283950617284,0.8210195178043485,0.817283950617284,0.8178079871980471
Gradient Boosting,0.7876543209876543,0.7912946790380925,0.7876543209876543,0.7859002979595634
KNN,0.7506172839506173,0.7570866901389574,0.7506172839506173,0.7512564689112681
Random Forest,0.7901234567901234,0.7928999689691465,0.7901234567901234,0.7899278783551686
Decision Tree,0.7234567901234568,0.7215351414672352,0.7234567901234568,0.7202870659610126
SVM,0.8,0.8023881561584992,0.8,0.7993949919787962
