Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.8246913580246914,0.8256812629930171,0.8246913580246914,0.8244913656809834
Gradient Boosting,0.7901234567901234,0.7916319024123902,0.7901234567901234,0.7896383795221804
KNN,0.7506172839506173,0.7529103515483706,0.7506172839506173,0.7489756117652617
Random Forest,0.7753086419753087,0.7785630396820774,0.7753086419753087,0.7757525096144294
Decision Tree,0.6790123456790124,0.6773080230211996,0.6790123456790124,0.6769957983529492
SVM,0.8123456790123457,0.8134844734088476,0.8123456790123457,0.812268686268781
