Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.7679012345679013,0.7672775504207979,0.7679012345679013,0.767410831721002,mir,Logistic Regression,Grid,0.09590721130371094
0.7481481481481481,0.7476798206631285,0.7481481481481481,0.7470344566431874,mir,Gradient Boosting,Grid,12.950472831726074
0.7160493827160493,0.7190963872247957,0.7160493827160493,0.7124207579085446,mir,KNN,Grid,0.41828370094299316
0.7481481481481481,0.74717715857723,0.7481481481481481,0.7472743533702885,mir,Random Forest,Grid,3.2661819458007812
0.7086419753086419,0.7227383835570971,0.7086419753086419,0.706142832631129,mir,Decision Tree,Grid,0.04895734786987305
0.745679012345679,0.7454096603586527,0.745679012345679,0.7451173392731347,mir,SVM,Grid,0.674799919128418
