Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.817283950617284,0.819935149467385,0.817283950617284,0.8176481853804034
Gradient Boosting,0.7950617283950617,0.7986038198052161,0.7950617283950617,0.795123671006909
KNN,0.7604938271604939,0.7664567006970534,0.7604938271604939,0.7602034589908848
Random Forest,0.7777777777777778,0.7813520286441292,0.7777777777777778,0.7775776089555065
Decision Tree,0.6864197530864198,0.6855857505845128,0.6864197530864198,0.6836904228271373
SVM,0.8148148148148148,0.8166562102811359,0.8148148148148148,0.8150580041513833
