Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.8296296296296296,0.8303969359480818,0.8296296296296296,0.8295628279544742
Gradient Boosting,0.7753086419753087,0.7764896434509965,0.7753086419753087,0.7754119491907655
KNN,0.7530864197530864,0.7517178504353998,0.7530864197530864,0.7520466568578141
Random Forest,0.7777777777777778,0.7807140746252367,0.7777777777777778,0.7788726299075526
Decision Tree,0.7135802469135802,0.7118877399705297,0.7135802469135802,0.7120195508604586
SVM,0.7975308641975308,0.7978240652808554,0.7975308641975308,0.7965852141941581
