Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.8049382716049382,0.8062732694483871,0.8049382716049382,0.8047177580609789,mu,Logistic Regression,Randomized,2.649761438369751
0.7925925925925926,0.794040041290558,0.7925925925925926,0.7915280057416761,mu,Gradient Boosting,Randomized,47.224589824676514
0.6814814814814815,0.6956838605596777,0.6814814814814815,0.6745561369163335,mu,KNN,Randomized,0.19627141952514648
0.7851851851851852,0.7919901394757576,0.7851851851851852,0.7870275054004151,mu,Random Forest,Randomized,11.115421772003174
0.7037037037037037,0.7134298706254367,0.7037037037037037,0.7046626921490967,mu,Decision Tree,Randomized,0.1044309139251709
0.7753086419753087,0.7775679860416249,0.7753086419753087,0.7757062991649702,mu,SVM,Randomized,4.523420095443726
