Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.8197530864197531,0.8230643106543206,0.8197530864197531,0.8201039777031345,fscs,Logistic Regression,Randomized,1.336463451385498
0.7876543209876543,0.792141204220242,0.7876543209876543,0.7863031841259883,fscs,Gradient Boosting,Randomized,46.73625993728638
0.7654320987654321,0.7714720050002701,0.7654320987654321,0.7650111004555679,fscs,KNN,Randomized,0.34687066078186035
0.8,0.8055832331840197,0.8,0.7990727363804724,fscs,Random Forest,Randomized,11.227285146713257
0.7506172839506173,0.7555151620239011,0.7506172839506173,0.7515909616063425,fscs,Decision Tree,Randomized,0.1039435863494873
0.7777777777777778,0.7799152112693264,0.7777777777777778,0.7769338982145009,fscs,SVM,Randomized,3.8768036365509033
