Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.8296296296296296,0.8300297344867618,0.8296296296296296,0.8295904554605502,rfe,Logistic Regression,Bayes,11.60192608833313
0.7950617283950617,0.7980896385339206,0.7950617283950617,0.7956465905953748,rfe,Gradient Boosting,Bayes,133.4235155582428
0.7432098765432099,0.742986099880543,0.7432098765432099,0.7421535429852443,rfe,KNN,Bayes,14.492705345153809
0.7753086419753087,0.7779023272467015,0.7753086419753087,0.7760176855390566,rfe,Random Forest,Bayes,32.72825598716736
0.7407407407407407,0.740554744192274,0.7407407407407407,0.7398264848199488,rfe,Decision Tree,Bayes,11.999989748001099
0.7950617283950617,0.7958996590060545,0.7950617283950617,0.7941328408316672,rfe,SVM,Bayes,15.551907539367676
