Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.8296296296296296,0.8300297344867618,0.8296296296296296,0.8295904554605502,rfe,Logistic Regression,Grid,0.08954429626464844
0.7753086419753087,0.7764896434509965,0.7753086419753087,0.7754119491907655,rfe,Gradient Boosting,Grid,9.858216285705566
0.7481481481481481,0.7471471550986013,0.7481481481481481,0.7459366374992886,rfe,KNN,Grid,0.14112329483032227
0.782716049382716,0.7834598374172601,0.782716049382716,0.7827203727227089,rfe,Random Forest,Grid,1.6026854515075684
0.7407407407407407,0.7377593513525548,0.7407407407407407,0.7384639467882896,rfe,Decision Tree,Grid,0.03829669952392578
0.7975308641975308,0.7978240652808554,0.7975308641975308,0.7965852141941581,rfe,SVM,Grid,0.6643891334533691
