Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.7679012345679013,0.7717094703533359,0.7679012345679013,0.7688258622025148,fscs,Logistic Regression,Grid,0.09372973442077637
0.7604938271604939,0.7661829143271756,0.7604938271604939,0.7615989189842602,fscs,Gradient Boosting,Grid,12.66056752204895
0.6790123456790124,0.6871136094355419,0.6790123456790124,0.6750368877516603,fscs,KNN,Grid,0.4127354621887207
0.7283950617283951,0.7315499162990202,0.7283950617283951,0.7279991758936514,fscs,Random Forest,Grid,3.0467984676361084
0.6888888888888889,0.6948849969226314,0.6888888888888889,0.6887069679875539,fscs,Decision Tree,Grid,0.05142498016357422
0.7604938271604939,0.7648758523199597,0.7604938271604939,0.76142194468571,fscs,SVM,Grid,1.1053180694580078
