Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.8296296296296296,0.8309320227414098,0.8296296296296296,0.8296261879707718,pc,Logistic Regression,Randomized,2.23016619682312
0.8024691358024691,0.8041667333773678,0.8024691358024691,0.8021147543837346,pc,Gradient Boosting,Randomized,43.734612703323364
0.7012345679012346,0.7139559090432231,0.7012345679012346,0.6888591579905635,pc,KNN,Randomized,0.1929011344909668
0.7679012345679013,0.7734790150536774,0.7679012345679013,0.7666031319148021,pc,Random Forest,Randomized,11.891178607940674
0.6691358024691358,0.6686252847988486,0.6691358024691358,0.6680273166685737,pc,Decision Tree,Randomized,0.1180422306060791
0.8049382716049382,0.8052506042181351,0.8049382716049382,0.8049225162003452,pc,SVM,Randomized,3.979808807373047
