Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.817283950617284,0.8186726327148609,0.817283950617284,0.8174306846476589,pc,Logistic Regression,Grid,0.08599019050598145
0.7975308641975308,0.7977694957331583,0.7975308641975308,0.7971723727631476,pc,Gradient Boosting,Grid,10.64630651473999
0.7481481481481481,0.7481298160796871,0.7481481481481481,0.7466238123072174,pc,KNN,Grid,0.1744842529296875
0.7777777777777778,0.7778212808209966,0.7777777777777778,0.7769182565441901,pc,Random Forest,Grid,1.8544549942016602
0.7037037037037037,0.70539542755631,0.7037037037037037,0.7029003934278131,pc,Decision Tree,Grid,0.04160356521606445
0.7950617283950617,0.7955825856732611,0.7950617283950617,0.7938015979532945,pc,SVM,Grid,0.730994462966919
