Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.817283950617284,0.8190286310747521,0.817283950617284,0.8177827403320362,pc,Logistic Regression,Randomized,0.9870212078094482
0.7950617283950617,0.7948675999546607,0.7950617283950617,0.7948809960501153,pc,Gradient Boosting,Randomized,38.555182695388794
0.7728395061728395,0.7748889243883763,0.7728395061728395,0.7710771399480506,pc,KNN,Randomized,0.3749661445617676
0.7851851851851852,0.7875053736693608,0.7851851851851852,0.783606129673009,pc,Random Forest,Randomized,9.620262861251831
0.6839506172839506,0.6885935088982599,0.6839506172839506,0.6817030304139333,pc,Decision Tree,Randomized,0.10646748542785645
0.7925925925925926,0.7918160863699608,0.7925925925925926,0.7909120634122085,pc,SVM,Randomized,3.462589740753174
