Method,Model,Accuracy,Precision,Recall,F1
skb,ANN,0.7925925925925926,0.7921163594623316,0.7925925925925926,0.790465979086448
skb,CNN,0.7876543209876543,0.792873161850629,0.7876543209876543,0.7881638581991082
