Model,Recursive Feature Elimination (RFE),Select K Best (SKB),Fisher Score Chi-Square Test (FSCS),Extra Trees Classifier (ETC),Pearson Correlation (PC),Mutual Information (MI),Mutual Info Regression (MIR),Manual Uniqueness (MU),Variance Threshold (VT)
Logistic Regression,0.8246913580246914,0.8197530864197531,0.8197530864197531,0.8296296296296296,0.8246913580246914,0.8197530864197531,0.8567901234567902,0.7975308641975308,0.8296296296296296
Gradient Boosting,0.7925925925925926,0.7950617283950617,0.7876543209876543,0.7851851851851852,0.7901234567901234,0.7950617283950617,0.8074074074074075,0.7703703703703704,0.782716049382716
K-Nearest Neighbour (KNN),0.7802469135802469,0.7654320987654321,0.7679012345679013,0.762962962962963,0.7530864197530864,0.7679012345679013,0.7802469135802469,0.725925925925926,0.7703703703703704
Random Forest,0.7851851851851852,0.7728395061728395,0.7753086419753087,0.7851851851851852,0.782716049382716,0.8049382716049382,0.8049382716049382,0.7901234567901234,0.7975308641975308
Decision Tree,0.7333333333333333,0.6617283950617284,0.7012345679012346,0.6839506172839506,0.6617283950617284,0.6617283950617284,0.6888888888888889,0.7037037037037037,0.7209876543209877
Support Vector Machine (SVM),0.8271604938271605,0.8148148148148148,0.8,0.8049382716049382,0.8123456790123457,0.8148148148148148,0.8246913580246914,0.7654320987654321,0.8074074074074075
