Model,Recursive Feature Elimination (RFE),Select K Best (SKB),Fisher Score Chi-Square Test (FSCS),Extra Trees Classifier (ETC),Pearson Correlation (PC),Mutual Information (MI),Mutual Info Regression (MIR),Manual Uniqueness (MU),Variance Threshold (VT)
Logistic Regression,0.7876543209876543,0.7901234567901234,0.7679012345679013,0.8,0.7901234567901234,0.7876543209876543,0.7679012345679013,0.7333333333333333,0.8049382716049382
Gradient Boosting,0.7358024691358025,0.7432098765432099,0.7604938271604939,0.762962962962963,0.7407407407407407,0.7333333333333333,0.7481481481481481,0.7061728395061728,0.7506172839506173
K-Nearest Neighbour (KNN),0.7209876543209877,0.6666666666666666,0.6790123456790124,0.7234567901234568,0.6666666666666666,0.7061728395061728,0.7160493827160493,0.6864197530864198,0.7135802469135802
Random Forest,0.7679012345679013,0.7432098765432099,0.7283950617283951,0.745679012345679,0.7308641975308642,0.7530864197530864,0.7481481481481481,0.7283950617283951,0.7654320987654321
Decision Tree,0.6888888888888889,0.6493827160493827,0.6888888888888889,0.6790123456790124,0.6493827160493827,0.6518518518518519,0.7086419753086419,0.6567901234567901,0.7111111111111111
Support Vector Machine (SVM),0.7753086419753087,0.7753086419753087,0.7604938271604939,0.7901234567901234,0.7753086419753087,0.762962962962963,0.745679012345679,0.7234567901234568,0.7975308641975308
