Model,Recursive Feature Elimination (RFE),Select K Best (SKB),Fisher Score Chi-Square Test (FSCS),Extra Trees Classifier (ETC),Pearson Correlation (PC),Mutual Information (MI),Mutual Info Regression (MIR),Manual Uniqueness (MU),Variance Threshold (VT)
Logistic Regression,0.8197530864197531,0.817283950617284,0.8123456790123457,0.8345679012345679,0.8296296296296296,0.817283950617284,0.8419753086419753,0.8049382716049382,0.8271604938271605
Gradient Boosting,0.7654320987654321,0.7901234567901234,0.7851851851851852,0.8,0.7876543209876543,0.7753086419753087,0.7975308641975308,0.7925925925925926,0.8024691358024691
K-Nearest Neighbour (KNN),0.7086419753086419,0.7308641975308642,0.7185185185185186,0.7432098765432099,0.7111111111111111,0.7308641975308642,0.6987654320987654,0.691358024691358,0.745679012345679
Random Forest,0.7876543209876543,0.7851851851851852,0.7925925925925926,0.8,0.7851851851851852,0.7950617283950617,0.7728395061728395,0.7802469135802469,0.782716049382716
Decision Tree,0.7432098765432099,0.6888888888888889,0.7481481481481481,0.7086419753086419,0.6765432098765433,0.6617283950617284,0.7160493827160493,0.7283950617283951,0.7111111111111111
Support Vector Machine (SVM),0.8024691358024691,0.8098765432098766,0.8098765432098766,0.8123456790123457,0.8049382716049382,0.8098765432098766,0.817283950617284,0.7901234567901234,0.8074074074074075
