Model,Recursive Feature Elimination (RFE),Select K Best (SKB),Fisher Score Chi-Square Test (FSCS),Extra Trees Classifier (ETC),Pearson Correlation (PC),Mutual Information (MI),Mutual Info Regression (MIR),Manual Uniqueness (MU),Variance Threshold (VT)
Logistic Regression,0.8246913580246914,0.8197530864197531,0.8197530864197531,0.8271604938271605,0.817283950617284,0.8197530864197531,0.854320987654321,0.7975308641975308,0.8271604938271605
Gradient Boosting,0.7728395061728395,0.7876543209876543,0.7876543209876543,0.8123456790123457,0.7876543209876543,0.7876543209876543,0.8049382716049382,0.7753086419753087,0.7975308641975308
K-Nearest Neighbour (KNN),0.7654320987654321,0.7802469135802469,0.7654320987654321,0.7703703703703704,0.782716049382716,0.7802469135802469,0.7876543209876543,0.7160493827160493,0.7802469135802469
Random Forest,0.7975308641975308,0.7753086419753087,0.8,0.8024691358024691,0.7925925925925926,0.7925925925925926,0.8049382716049382,0.7753086419753087,0.8
Decision Tree,0.7432098765432099,0.6839506172839506,0.7506172839506173,0.7037037037037037,0.6839506172839506,0.7061728395061728,0.7333333333333333,0.7234567901234568,0.7333333333333333
Support Vector Machine (SVM),0.7975308641975308,0.8024691358024691,0.7777777777777778,0.7975308641975308,0.8148148148148148,0.8024691358024691,0.7975308641975308,0.7555555555555555,0.8
