Model,Recursive Feature Elimination (RFE),Select K Best (SKB),Fisher Score Chi-Square Test (FSCS),Extra Trees Classifier (ETC),Pearson Correlation (PC),Mutual Information (MI),Mutual Info Regression (MIR),Manual Uniqueness (MU),Variance Threshold (VT)
Logistic Regression,0.7876543209876543,0.7901234567901234,0.7679012345679013,0.8,0.7901234567901234,0.782716049382716,0.7679012345679013,0.7333333333333333,0.8049382716049382
Gradient Boosting,0.7654320987654321,0.7308641975308642,0.7333333333333333,0.7679012345679013,0.7308641975308642,0.7308641975308642,0.745679012345679,0.7061728395061728,0.7802469135802469
K-Nearest Neighbour (KNN),0.7333333333333333,0.6839506172839506,0.7160493827160493,0.7308641975308642,0.6839506172839506,0.6987654320987654,0.7135802469135802,0.6691358024691358,0.6962962962962963
Random Forest,0.762962962962963,0.7283950617283951,0.7555555555555555,0.762962962962963,0.7407407407407407,0.7382716049382716,0.7506172839506173,0.7234567901234568,0.762962962962963
Decision Tree,0.7111111111111111,0.6320987654320988,0.6691358024691358,0.6814814814814815,0.6370370370370371,0.6370370370370371,0.7333333333333333,0.6345679012345679,0.7358024691358025
Support Vector Machine (SVM),0.7777777777777778,0.7654320987654321,0.7382716049382716,0.7703703703703704,0.7654320987654321,0.7481481481481481,0.7283950617283951,0.691358024691358,0.7753086419753087
