Method,Model,Accuracy,Precision,Recall,F1
rfe,ANN,0.8074074074074075,0.8094961492077262,0.8074074074074075,0.8071199163086422
rfe,CNN,0.7975308641975308,0.8018940938571758,0.7975308641975308,0.7983483078797216
skb,ANN,0.8,0.7991528964862298,0.8,0.7981060492455436
skb,CNN,0.8049382716049382,0.8084760917674104,0.8049382716049382,0.8053959613383891
fscs,ANN,0.7925925925925926,0.7974073495551159,0.7925925925925926,0.7927554461733107
fscs,CNN,0.8024691358024691,0.8048974163416108,0.8024691358024691,0.8028266902367414
etc,ANN,0.7901234567901234,0.7901845495623621,0.7901234567901234,0.7861418429241968
etc,CNN,0.8148148148148148,0.8154188254575033,0.8148148148148148,0.8147939854300117
pc,ANN,0.7777777777777778,0.7868302976242778,0.7777777777777778,0.7729431102946367
pc,CNN,0.8024691358024691,0.805661834288617,0.8024691358024691,0.8035203064298139
mi,ANN,0.8024691358024691,0.8016993436464147,0.8024691358024691,0.8005670998431772
mi,CNN,0.8123456790123457,0.8126715355974615,0.8123456790123457,0.8124490679023902
mir,ANN,0.8246913580246914,0.823521976364931,0.8246913580246914,0.8226693722983839
mir,CNN,0.8197530864197531,0.8207432194614537,0.8197530864197531,0.8196590163500626
mu,ANN,0.7654320987654321,0.7639911637810646,0.7654320987654321,0.7629290695549004
mu,CNN,0.7901234567901234,0.802042099796833,0.7901234567901234,0.7919719172833918
vt,ANN,0.8074074074074075,0.811687531514511,0.8074074074074075,0.8061402128247032
vt,CNN,0.8222222222222222,0.8225629942844013,0.8222222222222222,0.8215749697782762
