Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.8074074074074075,0.8076007022804617,0.8074074074074075,0.8064619684866211,vt,Logistic Regression,Bayes,12.672318696975708
0.7950617283950617,0.7948569424964937,0.7950617283950617,0.7915912430778026,vt,Gradient Boosting,Bayes,170.16288137435913
0.7086419753086419,0.7137049257441952,0.7086419753086419,0.697806623074081,vt,KNN,Bayes,22.441449642181396
0.7654320987654321,0.7657786653974025,0.7654320987654321,0.7636558402816095,vt,Random Forest,Bayes,45.89181065559387
0.7432098765432099,0.7434856285665113,0.7432098765432099,0.7423331479610801,vt,Decision Tree,Bayes,16.939390659332275
0.7703703703703704,0.7705504512368254,0.7703703703703704,0.7690909362130356,vt,SVM,Bayes,24.345280408859253
