Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.8444444444444444,0.846401606738586,0.8444444444444444,0.8448222544644943,vt,Logistic Regression,Randomized,0.882404088973999
0.8222222222222222,0.8248036201398773,0.8222222222222222,0.8227871037082455,vt,Gradient Boosting,Randomized,43.828733921051025
0.7580246913580246,0.763068177758401,0.7580246913580246,0.7590492568944287,vt,KNN,Randomized,0.2952563762664795
0.7851851851851852,0.7917354771085736,0.7851851851851852,0.7869650109437498,vt,Random Forest,Randomized,9.835350513458252
0.7185185185185186,0.7216608391419708,0.7185185185185186,0.7182601332136502,vt,Decision Tree,Randomized,0.09376072883605957
0.8148148148148148,0.8172023461956666,0.8148148148148148,0.8150256167150012,vt,SVM,Randomized,3.4242846965789795
