Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.8222222222222222,0.8231587208782987,0.8222222222222222,0.8220255268602633,pc,Logistic Regression,Bayes,12.952943325042725
0.7802469135802469,0.783207826386366,0.7802469135802469,0.7807221118270983,pc,Gradient Boosting,Bayes,121.9886827468872
0.7679012345679013,0.7727516808688363,0.7679012345679013,0.7652352827931814,pc,KNN,Bayes,15.37880825996399
0.7777777777777778,0.7805390652257068,0.7777777777777778,0.777584685030433,pc,Random Forest,Bayes,33.83135461807251
0.6790123456790124,0.6759127811695451,0.6790123456790124,0.6751259152233452,pc,Decision Tree,Bayes,13.197608232498169
0.8148148148148148,0.8159104771787521,0.8148148148148148,0.8146026880134342,pc,SVM,Bayes,16.707115173339844
