Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.854320987654321,0.8550990731303747,0.854320987654321,0.8538856956880082,mir,Logistic Regression,Randomized,1.6068322658538818
0.8049382716049382,0.8056913453025877,0.8049382716049382,0.8051871700527309,mir,Gradient Boosting,Randomized,47.56886029243469
0.7876543209876543,0.7913070219788177,0.7876543209876543,0.785426612416821,mir,KNN,Randomized,0.3428044319152832
0.8049382716049382,0.8066638140110189,0.8049382716049382,0.8055639640144535,mir,Random Forest,Randomized,9.081329584121704
0.7333333333333333,0.73701915487857,0.7333333333333333,0.7342154788239782,mir,Decision Tree,Randomized,0.1061546802520752
0.7975308641975308,0.7982996915131991,0.7975308641975308,0.797176094112079,mir,SVM,Randomized,3.466175079345703
