Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.8419753086419753,0.8407285815972938,0.8419753086419753,0.8409320388894963,etc,Logistic Regression,Randomized,1.0652306079864502
0.7802469135802469,0.7827183361484419,0.7802469135802469,0.7805008540340379,etc,Gradient Boosting,Randomized,45.627795696258545
0.7506172839506173,0.7481352273777991,0.7506172839506173,0.7476811686964944,etc,KNN,Randomized,0.31630492210388184
0.8074074074074075,0.8092769486715504,0.8074074074074075,0.8072898231172049,etc,Random Forest,Randomized,9.908384799957275
0.7185185185185186,0.7184492706639228,0.7185185185185186,0.717851220807784,etc,Decision Tree,Randomized,0.10792040824890137
0.8074074074074075,0.8084233049512066,0.8074074074074075,0.8076891900965973,etc,SVM,Randomized,3.36661434173584
