Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.7679012345679013,0.7717094703533359,0.7679012345679013,0.7688258622025148
Gradient Boosting,0.7604938271604939,0.7661829143271756,0.7604938271604939,0.7615989189842602
KNN,0.6617283950617284,0.6645980285002193,0.6617283950617284,0.6590360002381794
Random Forest,0.7283950617283951,0.7315499162990202,0.7283950617283951,0.7279991758936514
Decision Tree,0.6765432098765433,0.6796865738801222,0.6765432098765433,0.6766976791360979
SVM,0.7604938271604939,0.7648758523199597,0.7604938271604939,0.76142194468571
