Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.8419753086419753,0.8442444497543733,0.8419753086419753,0.842294202534971,mir,Logistic Regression,Grid,0.11112451553344727
0.7654320987654321,0.7654989941342143,0.7654320987654321,0.765051341810689,mir,Gradient Boosting,Grid,14.010866403579712
0.7283950617283951,0.740028764401101,0.7283950617283951,0.723436558095614,mir,KNN,Grid,0.35805606842041016
0.782716049382716,0.7828327313820019,0.782716049382716,0.7823083928094822,mir,Random Forest,Grid,2.0103063583374023
0.691358024691358,0.7076408874098891,0.691358024691358,0.6939523536648411,mir,Decision Tree,Grid,0.05442094802856445
0.8197530864197531,0.8224548240643956,0.8197530864197531,0.8198367677898121,mir,SVM,Grid,0.7029614448547363
