Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.8049382716049382,0.8050983081847279,0.8049382716049382,0.8041277897313581,vt,Logistic Regression,Randomized,1.446943998336792
0.7802469135802469,0.7821337910251743,0.7802469135802469,0.7770064185322368,vt,Gradient Boosting,Randomized,46.41879415512085
0.6962962962962963,0.6921036029771157,0.6962962962962963,0.6809102712979265,vt,KNN,Randomized,0.37777280807495117
0.762962962962963,0.7632261668372778,0.762962962962963,0.7608255459744596,vt,Random Forest,Randomized,10.860789060592651
0.7358024691358025,0.7328601039567751,0.7358024691358025,0.7340430045714599,vt,Decision Tree,Randomized,0.10323381423950195
0.7753086419753087,0.7752442579759726,0.7753086419753087,0.7737686284904574,vt,SVM,Randomized,4.259616851806641
