Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.7876543209876543,0.7886274129339851,0.7876543209876543,0.7871443551932665
Gradient Boosting,0.7358024691358025,0.7393271898229653,0.7358024691358025,0.735712304154863
KNN,0.7185185185185186,0.7209094539232521,0.7185185185185186,0.7155153283395099
Random Forest,0.7703703703703704,0.7759701127732711,0.7703703703703704,0.7715184258556056
Decision Tree,0.6617283950617284,0.662902689748643,0.6617283950617284,0.6600194603122861
SVM,0.7753086419753087,0.7779815650595793,0.7753086419753087,0.7747174599193378
