Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.7283950617283951,0.7324378910080891,0.7283950617283951,0.7291389677517667
Gradient Boosting,0.7061728395061728,0.7071640419218476,0.7061728395061728,0.7061752508840755
KNN,0.6395061728395062,0.646249445712846,0.6395061728395062,0.6387872151002008
Random Forest,0.7209876543209877,0.7271696250107871,0.7209876543209877,0.7228858801781938
Decision Tree,0.6691358024691358,0.6733083213083213,0.6691358024691358,0.6706152644688369
SVM,0.7234567901234568,0.7282516728928716,0.7234567901234568,0.7243622570178327
