Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.8567901234567902,0.8579573623843115,0.8567901234567902,0.8563993232123996
Gradient Boosting,0.8074074074074075,0.8071965356787434,0.8074074074074075,0.8072192334542073
KNN,0.7580246913580246,0.7586230717917961,0.7580246913580246,0.7571926964798608
Random Forest,0.7777777777777778,0.7787434738132608,0.7777777777777778,0.7780523634558881
Decision Tree,0.6938271604938272,0.6959596053388196,0.6938271604938272,0.6945812373070227
SVM,0.8246913580246914,0.8280930325733192,0.8246913580246914,0.82490949557008
