Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec
0.8,0.7987000107476299,0.8,0.7987742016516626,etc,Logistic Regression,Randomized,1.48988938331604
0.7679012345679013,0.7686936828421638,0.7679012345679013,0.7663867478749187,etc,Gradient Boosting,Randomized,43.077871799468994
0.7308641975308642,0.7381344678399884,0.7308641975308642,0.727799678806248,etc,KNN,Randomized,0.40314269065856934
0.762962962962963,0.7699197675347199,0.762962962962963,0.7606640964996269,etc,Random Forest,Randomized,11.293696880340576
0.6814814814814815,0.6873821991221425,0.6814814814814815,0.6789481050713788,etc,Decision Tree,Randomized,0.11587071418762207
0.7703703703703704,0.7697771984167383,0.7703703703703704,0.7694161169436157,etc,SVM,Randomized,5.460855722427368
