Model,Accuracy,Precision,Recall,F1,Method,Optimizer
Logistic Regression,0.8296296296296296,0.8327225666174368,0.8296296296296296,0.8297242618681727,vt,Bayes
Gradient Boosting,0.8,0.8017111388204234,0.8,0.8001501434881712,vt,Bayes
SVM,0.8074074074074075,0.814432139611351,0.8074074074074075,0.8066418756561233,vt,Bayes
Random Forest,0.7901234567901234,0.7939213782732426,0.7901234567901234,0.7903986096810109,vt,Bayes
KNN,0.7703703703703704,0.7807176150275598,0.7703703703703704,0.7646369698829795,vt,Bayes
Decision Tree,0.7234567901234568,0.7307338311306565,0.7234567901234568,0.7241041171563843,vt,Bayes
Logistic Regression,0.8271604938271605,0.8269122964486115,0.8271604938271605,0.8265061717946683,etc,Bayes
Gradient Boosting,0.8197530864197531,0.8219225917393559,0.8197530864197531,0.8186037327274649,etc,Bayes
SVM,0.8074074074074075,0.8075343368879934,0.8074074074074075,0.8058831125195156,etc,Bayes
Random Forest,0.7851851851851852,0.7862810326559397,0.7851851851851852,0.7844666852294747,etc,Bayes
KNN,0.7703703703703704,0.7732237530804225,0.7703703703703704,0.7681412461576488,etc,Bayes
Decision Tree,0.7061728395061728,0.7016383376455679,0.7061728395061728,0.7024771885395668,etc,Bayes
Logistic Regression,0.8197530864197531,0.8221244704391296,0.8197530864197531,0.8202226688362614,skb,Bayes
SVM,0.8197530864197531,0.8231729244299287,0.8197530864197531,0.8200276562650167,skb,Bayes
Gradient Boosting,0.7925925925925926,0.7958348295385332,0.7925925925925926,0.7934367334074997,skb,Bayes
Random Forest,0.7753086419753087,0.7815442495372515,0.7753086419753087,0.7744798691538793,skb,Bayes
KNN,0.7703703703703704,0.777168931770239,0.7703703703703704,0.7685862860765147,skb,Bayes
Decision Tree,0.6864197530864198,0.6835328178204707,0.6864197530864198,0.683558511400146,skb,Bayes
Logistic Regression,0.8246913580246914,0.8260600130950336,0.8246913580246914,0.82504274260046,rfe,Bayes
SVM,0.8296296296296296,0.8308471436421224,0.8296296296296296,0.8296667285143875,rfe,Bayes
Random Forest,0.8024691358024691,0.8055004327917001,0.8024691358024691,0.8027772192606097,rfe,Bayes
Gradient Boosting,0.7975308641975308,0.7997661839946383,0.7975308641975308,0.7974977278469852,rfe,Bayes
Decision Tree,0.7481481481481481,0.750011549202401,0.7481481481481481,0.7476454503037457,rfe,Bayes
KNN,0.762962962962963,0.7698071598952284,0.762962962962963,0.7605540906930598,rfe,Bayes
Logistic Regression,0.8222222222222222,0.8231587208782987,0.8222222222222222,0.8220255268602633,pc,Bayes
SVM,0.8148148148148148,0.8159104771787521,0.8148148148148148,0.8146026880134342,pc,Bayes
Gradient Boosting,0.7802469135802469,0.783207826386366,0.7802469135802469,0.7807221118270983,pc,Bayes
Random Forest,0.7777777777777778,0.7805390652257068,0.7777777777777778,0.777584685030433,pc,Bayes
KNN,0.7679012345679013,0.7727516808688363,0.7679012345679013,0.7652352827931814,pc,Bayes
Decision Tree,0.6790123456790124,0.6759127811695451,0.6790123456790124,0.6751259152233452,pc,Bayes
Logistic Regression,0.8197530864197531,0.8221244704391296,0.8197530864197531,0.8202226688362614,mi,Bayes
SVM,0.8197530864197531,0.8231729244299287,0.8197530864197531,0.8200276562650167,mi,Bayes
Random Forest,0.8024691358024691,0.8098758822160209,0.8024691358024691,0.8011804339999969,mi,Bayes
Gradient Boosting,0.7925925925925926,0.795330960902325,0.7925925925925926,0.7916613533754727,mi,Bayes
KNN,0.7802469135802469,0.7855758299136955,0.7802469135802469,0.777139755866827,mi,Bayes
Decision Tree,0.6790123456790124,0.6751975765901648,0.6790123456790124,0.6746092689088206,mi,Bayes
Logistic Regression,0.854320987654321,0.8550990731303747,0.854320987654321,0.8538856956880082,mir,Bayes
Gradient Boosting,0.8197530864197531,0.8194713605606851,0.8197530864197531,0.8195779860421989,mir,Bayes
SVM,0.8148148148148148,0.8157701948493016,0.8148148148148148,0.8149733779951345,mir,Bayes
Random Forest,0.8148148148148148,0.8163853205364834,0.8148148148148148,0.8146571497224925,mir,Bayes
KNN,0.7728395061728395,0.7744369687059746,0.7728395061728395,0.771222519384301,mir,Bayes
Decision Tree,0.6888888888888889,0.7026333062618572,0.6888888888888889,0.6910780985651617,mir,Bayes
Logistic Regression,0.8024691358024691,0.8038719106203651,0.8024691358024691,0.8020891964607744,mu,Bayes
Gradient Boosting,0.7901234567901234,0.7887061073318352,0.7901234567901234,0.7881472066679803,mu,Bayes
Random Forest,0.7802469135802469,0.7856435308526282,0.7802469135802469,0.7816431416740266,mu,Bayes
SVM,0.7604938271604939,0.7623395756775478,0.7604938271604939,0.759825013566113,mu,Bayes
Decision Tree,0.7530864197530864,0.7619328299136705,0.7530864197530864,0.7536693930610812,mu,Bayes
KNN,0.7185185185185186,0.727124316166761,0.7185185185185186,0.7185011052052215,mu,Bayes
Logistic Regression,0.8197530864197531,0.8230643106543206,0.8197530864197531,0.8201039777031345,fscs,Bayes
SVM,0.8123456790123457,0.8170092531663051,0.8123456790123457,0.8123394438209254,fscs,Bayes
