Model,Accuracy,Precision,Recall,F1,Method,Optimizer
Random Forest,0.745679012345679,0.7482096161180236,0.745679012345679,0.7450532326354667,etc,Grid
KNN,0.7234567901234568,0.7265524485726188,0.7234567901234568,0.7194501915596719,etc,Grid
Decision Tree,0.6790123456790124,0.6864189937291789,0.6790123456790124,0.6716762853129465,etc,Grid
Logistic Regression,0.7901234567901234,0.791502472129668,0.7901234567901234,0.7890148834596109,skb,Grid
SVM,0.7753086419753087,0.7764764522312346,0.7753086419753087,0.7754009579206504,skb,Grid
Gradient Boosting,0.7432098765432099,0.7423291532614339,0.7432098765432099,0.7414733879242686,skb,Grid
Random Forest,0.7432098765432099,0.743629151155229,0.7432098765432099,0.7418926609578359,skb,Grid
KNN,0.6666666666666666,0.6666209273811886,0.6666666666666666,0.6600883194794641,skb,Grid
Decision Tree,0.6493827160493827,0.6547595816557037,0.6493827160493827,0.6479783536958162,skb,Grid
Logistic Regression,0.7876543209876543,0.7886274129339851,0.7876543209876543,0.7871443551932665,rfe,Grid
SVM,0.7753086419753087,0.7779815650595793,0.7753086419753087,0.7747174599193378,rfe,Grid
Random Forest,0.7679012345679013,0.7746309979758615,0.7679012345679013,0.7688641297362491,rfe,Grid
Gradient Boosting,0.7358024691358025,0.7393271898229653,0.7358024691358025,0.735712304154863,rfe,Grid
KNN,0.7209876543209877,0.7289332466808021,0.7209876543209877,0.718708320396207,rfe,Grid
Decision Tree,0.6888888888888889,0.7036492953405539,0.6888888888888889,0.683657757475706,rfe,Grid
Logistic Regression,0.7901234567901234,0.791502472129668,0.7901234567901234,0.7890148834596109,pc,Grid
SVM,0.7753086419753087,0.7764764522312346,0.7753086419753087,0.7754009579206504,pc,Grid
Gradient Boosting,0.7407407407407407,0.7398109083049174,0.7407407407407407,0.7391430865904703,pc,Grid
Random Forest,0.7308641975308642,0.7328098783781931,0.7308641975308642,0.7310087736671844,pc,Grid
KNN,0.6666666666666666,0.6666209273811886,0.6666666666666666,0.6600883194794641,pc,Grid
Decision Tree,0.6493827160493827,0.6547595816557037,0.6493827160493827,0.6479783536958162,pc,Grid
Logistic Regression,0.7876543209876543,0.7876156470428777,0.7876543209876543,0.7857719708975298,mi,Grid
Random Forest,0.7530864197530864,0.757867290287081,0.7530864197530864,0.754341338122746,mi,Grid
SVM,0.762962962962963,0.765043336115074,0.762962962962963,0.763226082591213,mi,Grid
Gradient Boosting,0.7333333333333333,0.7336399703198511,0.7333333333333333,0.7321530813204208,mi,Grid
KNN,0.7061728395061728,0.7057998591979174,0.7061728395061728,0.7010131345149911,mi,Grid
Decision Tree,0.6518518518518519,0.6574194653812226,0.6518518518518519,0.6507592360287038,mi,Grid
Logistic Regression,0.7679012345679013,0.7672775504207979,0.7679012345679013,0.767410831721002,mir,Grid
Gradient Boosting,0.7481481481481481,0.7476798206631285,0.7481481481481481,0.7470344566431874,mir,Grid
Random Forest,0.7481481481481481,0.74717715857723,0.7481481481481481,0.7472743533702885,mir,Grid
SVM,0.745679012345679,0.7454096603586527,0.745679012345679,0.7451173392731347,mir,Grid
KNN,0.7160493827160493,0.7190963872247957,0.7160493827160493,0.7124207579085446,mir,Grid
Decision Tree,0.7086419753086419,0.7227383835570971,0.7086419753086419,0.706142832631129,mir,Grid
Logistic Regression,0.7333333333333333,0.736444418483399,0.7333333333333333,0.733969923077532,mu,Grid
Random Forest,0.7283950617283951,0.7344461806889285,0.7283950617283951,0.7297190960634938,mu,Grid
SVM,0.7234567901234568,0.7282516728928716,0.7234567901234568,0.7243622570178327,mu,Grid
Gradient Boosting,0.7061728395061728,0.7071640419218476,0.7061728395061728,0.7061752508840755,mu,Grid
KNN,0.6864197530864198,0.6801011462555955,0.6864197530864198,0.6784018987782428,mu,Grid
Decision Tree,0.6567901234567901,0.6585534651021107,0.6567901234567901,0.6565499149006401,mu,Grid
Logistic Regression,0.7679012345679013,0.7717094703533359,0.7679012345679013,0.7688258622025148,fscs,Grid
Gradient Boosting,0.7604938271604939,0.7661829143271756,0.7604938271604939,0.7615989189842602,fscs,Grid
SVM,0.7604938271604939,0.7648758523199597,0.7604938271604939,0.76142194468571,fscs,Grid
Random Forest,0.7283950617283951,0.7315499162990202,0.7283950617283951,0.7279991758936514,fscs,Grid
Decision Tree,0.6888888888888889,0.6948849969226314,0.6888888888888889,0.6887069679875539,fscs,Grid
KNN,0.6790123456790124,0.6871136094355419,0.6790123456790124,0.6750368877516603,fscs,Grid
Logistic Regression,0.8049382716049382,0.8050983081847279,0.8049382716049382,0.8041277897313581,vt,Randomized
Gradient Boosting,0.7802469135802469,0.7821337910251743,0.7802469135802469,0.7770064185322368,vt,Randomized
SVM,0.7753086419753087,0.7752442579759726,0.7753086419753087,0.7737686284904574,vt,Randomized
Random Forest,0.762962962962963,0.7632261668372778,0.762962962962963,0.7608255459744596,vt,Randomized
Decision Tree,0.7358024691358025,0.7328601039567751,0.7358024691358025,0.7340430045714599,vt,Randomized
KNN,0.6962962962962963,0.6921036029771157,0.6962962962962963,0.6809102712979265,vt,Randomized
Logistic Regression,0.8,0.7987000107476299,0.8,0.7987742016516626,etc,Randomized
SVM,0.7703703703703704,0.7697771984167383,0.7703703703703704,0.7694161169436157,etc,Randomized
Gradient Boosting,0.7679012345679013,0.7686936828421638,0.7679012345679013,0.7663867478749187,etc,Randomized
Random Forest,0.762962962962963,0.7699197675347199,0.762962962962963,0.7606640964996269,etc,Randomized
KNN,0.7308641975308642,0.7381344678399884,0.7308641975308642,0.727799678806248,etc,Randomized
Decision Tree,0.6814814814814815,0.6873821991221425,0.6814814814814815,0.6789481050713788,etc,Randomized
Logistic Regression,0.7901234567901234,0.7911687718850705,0.7901234567901234,0.7890762813842568,skb,Randomized
SVM,0.7654320987654321,0.7657690451664938,0.7654320987654321,0.7653015157592012,skb,Randomized
Gradient Boosting,0.7308641975308642,0.732487049140644,0.7308641975308642,0.7283134658740048,skb,Randomized
Random Forest,0.7283950617283951,0.733476302604843,0.7283950617283951,0.7257046933493324,skb,Randomized
KNN,0.6839506172839506,0.6849269946638369,0.6839506172839506,0.6737213416847014,skb,Randomized
Decision Tree,0.6320987654320988,0.6337864457444893,0.6320987654320988,0.6309898433334105,skb,Randomized
Logistic Regression,0.7876543209876543,0.7879100229434902,0.7876543209876543,0.7868788029704153,rfe,Randomized
SVM,0.7777777777777778,0.7781809274181074,0.7777777777777778,0.777325863642584,rfe,Randomized
Gradient Boosting,0.7654320987654321,0.7707390295281243,0.7654320987654321,0.7661332782853902,rfe,Randomized
Random Forest,0.762962962962963,0.7706172109410685,0.762962962962963,0.7642620668724472,rfe,Randomized
KNN,0.7333333333333333,0.7405905941783208,0.7333333333333333,0.7305845760163577,rfe,Randomized
Decision Tree,0.7111111111111111,0.7115649273078809,0.7111111111111111,0.7099328509508274,rfe,Randomized
Logistic Regression,0.7901234567901234,0.7911687718850705,0.7901234567901234,0.7890762813842568,pc,Randomized
SVM,0.7654320987654321,0.7657690451664938,0.7654320987654321,0.7653015157592012,pc,Randomized
Random Forest,0.7407407407407407,0.7439914891890497,0.7407407407407407,0.7385356949053459,pc,Randomized
Gradient Boosting,0.7308641975308642,0.732487049140644,0.7308641975308642,0.7283134658740048,pc,Randomized
KNN,0.6839506172839506,0.6849269946638369,0.6839506172839506,0.6737213416847014,pc,Randomized
Decision Tree,0.6370370370370371,0.6388603314656242,0.6370370370370371,0.6359703166625906,pc,Randomized
Logistic Regression,0.782716049382716,0.783310470964792,0.782716049382716,0.7810032088282496,mi,Randomized
SVM,0.7481481481481481,0.7491040136583234,0.7481481481481481,0.7482239451989013,mi,Randomized
Random Forest,0.7382716049382716,0.7417569245964788,0.7382716049382716,0.738828778443566,mi,Randomized
Gradient Boosting,0.7308641975308642,0.7321228369368042,0.7308641975308642,0.7289838333500029,mi,Randomized
KNN,0.6987654320987654,0.7021020112708269,0.6987654320987654,0.6920131963645566,mi,Randomized
Decision Tree,0.6370370370370371,0.6344138758001047,0.6370370370370371,0.635458811799808,mi,Randomized
Logistic Regression,0.7679012345679013,0.7672775504207979,0.7679012345679013,0.767410831721002,mir,Randomized
Random Forest,0.7506172839506173,0.7508191277777334,0.7506172839506173,0.7505043727797012,mir,Randomized
Gradient Boosting,0.745679012345679,0.7505175672493789,0.745679012345679,0.7432845452532263,mir,Randomized
Decision Tree,0.7333333333333333,0.7347454305157671,0.7333333333333333,0.7330973123861257,mir,Randomized
SVM,0.7283950617283951,0.7280455269894522,0.7283950617283951,0.7263145056325769,mir,Randomized
KNN,0.7135802469135802,0.7174895414623046,0.7135802469135802,0.7096020997899048,mir,Randomized
Logistic Regression,0.7333333333333333,0.736444418483399,0.7333333333333333,0.733969923077532,mu,Randomized
Random Forest,0.7234567901234568,0.729641073246654,0.7234567901234568,0.7248123365235415,mu,Randomized
Gradient Boosting,0.7061728395061728,0.7083569578752387,0.7061728395061728,0.7054109900215524,mu,Randomized
SVM,0.691358024691358,0.6970888688237615,0.691358024691358,0.6933142700695281,mu,Randomized
KNN,0.6691358024691358,0.6653516593632616,0.6691358024691358,0.6617619178937194,mu,Randomized
Decision Tree,0.6345679012345679,0.6407803575071318,0.6345679012345679,0.6324329750912163,mu,Randomized
Logistic Regression,0.7679012345679013,0.7717094703533359,0.7679012345679013,0.7688258622025148,fscs,Randomized
Random Forest,0.7555555555555555,0.7640729911197748,0.7555555555555555,0.7552197967419397,fscs,Randomized
SVM,0.7382716049382716,0.7404732312345481,0.7382716049382716,0.7381185240487745,fscs,Randomized
Gradient Boosting,0.7333333333333333,0.7362860136999189,0.7333333333333333,0.7340543646066814,fscs,Randomized
KNN,0.7160493827160493,0.7294690141897502,0.7160493827160493,0.7072920646443306,fscs,Randomized
Decision Tree,0.6691358024691358,0.6714485028561408,0.6691358024691358,0.6683848787497021,fscs,Randomized
