Model,Accuracy,Precision,Recall,F1,Feature_Set
Logistic Regression,0.837037037037037,0.8362229075855199,0.837037037037037,0.8352659253549224,ETC
SVM,0.817283950617284,0.8172547855549477,0.817283950617284,0.8169387445988223,ETC
Gradient Boosting,0.782716049382716,0.7839205050102555,0.782716049382716,0.7832169762723116,ETC
ANN,0.782716049382716,0.7830447862388397,0.782716049382716,0.7816077285595304,ETC
CNN,0.782716049382716,0.7858464171785559,0.782716049382716,0.7835953511366178,ETC
Random Forest,0.7777777777777778,0.7802645950794098,0.7777777777777778,0.7785593673747591,ETC
KNN,0.7185185185185186,0.7207116909028807,0.7185185185185186,0.7156518811685881,ETC
Decision Tree,0.6987654320987654,0.6939703649373516,0.6987654320987654,0.6941468818296229,ETC
Logistic Regression,0.8123456790123457,0.8159189504450839,0.8123456790123457,0.8122845666445854,FSCS
SVM,0.8074074074074075,0.81208438370086,0.8074074074074075,0.8081479262977438,FSCS
Random Forest,0.7975308641975308,0.8040780466981805,0.7975308641975308,0.7975433607219408,FSCS
ANN,0.7925925925925926,0.7941163890682547,0.7925925925925926,0.7923583737416965,FSCS
CNN,0.7925925925925926,0.8009671687191067,0.7925925925925926,0.7947043734891308,FSCS
Gradient Boosting,0.7679012345679013,0.7713427754195777,0.7679012345679013,0.7671840699094368,FSCS
KNN,0.7185185185185186,0.7290931583125381,0.7185185185185186,0.7148015410226494,FSCS
Decision Tree,0.7086419753086419,0.7055150257897291,0.7086419753086419,0.7056574408060622,FSCS
Logistic Regression,0.817283950617284,0.8188226267061313,0.817283950617284,0.8175521920734646,MI
SVM,0.8148148148148148,0.8161741715825815,0.8148148148148148,0.8149774054747918,MI
ANN,0.7728395061728395,0.7718185502864593,0.7728395061728395,0.7707058749385368,MI
Gradient Boosting,0.7728395061728395,0.7745271094108304,0.7728395061728395,0.7722462573315286,MI
Random Forest,0.7703703703703704,0.7729901107511171,0.7703703703703704,0.770124371187476,MI
CNN,0.7654320987654321,0.7735172217034962,0.7654320987654321,0.7674369928925319,MI
KNN,0.7308641975308642,0.7363578889513804,0.7308641975308642,0.7261290712967093,MI
Decision Tree,0.6641975308641975,0.6604408688883245,0.6641975308641975,0.6611851949140806,MI
Logistic Regression,0.8395061728395061,0.8428132188262805,0.8395061728395061,0.8399014512952893,MIR
ANN,0.8296296296296296,0.8337921078787048,0.8296296296296296,0.8294074122545296,MIR
CNN,0.8296296296296296,0.8292721170396187,0.8296296296296296,0.8292007904775245,MIR
SVM,0.8197530864197531,0.8224548240643956,0.8197530864197531,0.8198367677898121,MIR
Random Forest,0.7901234567901234,0.7903457685609729,0.7901234567901234,0.7897128374683635,MIR
Gradient Boosting,0.7851851851851852,0.7868963201412719,0.7851851851851852,0.7856588288413311,MIR
KNN,0.7086419753086419,0.7118305583210587,0.7086419753086419,0.7059622870281943,MIR
Decision Tree,0.671604938271605,0.6694972856458772,0.671604938271605,0.6701380084711571,MIR
Logistic Regression,0.8,0.8015150226654489,0.8,0.7996887914225558,MU
SVM,0.7876543209876543,0.7901874509673049,0.7876543209876543,0.7873587743563326,MU
Gradient Boosting,0.782716049382716,0.7826435455229075,0.782716049382716,0.7821413992834425,MU
ANN,0.7802469135802469,0.7821602181047262,0.7802469135802469,0.7765342175697837,MU
CNN,0.7679012345679013,0.7851584659239873,0.7679012345679013,0.7696707484416049,MU
Random Forest,0.7555555555555555,0.7639073680297966,0.7555555555555555,0.758345734970289,MU
Decision Tree,0.6839506172839506,0.6827188063161082,0.6839506172839506,0.6832737668674428,MU
KNN,0.6641975308641975,0.6668975709445317,0.6641975308641975,0.6633621159077578,MU
Logistic Regression,0.8246913580246914,0.8259205245551349,0.8246913580246914,0.8246326951026695,PC
SVM,0.817283950617284,0.8176841209025116,0.817283950617284,0.8169950547057787,PC
CNN,0.7950617283950617,0.7995268407795574,0.7950617283950617,0.7957157907430812,PC
ANN,0.7901234567901234,0.795973395220279,0.7901234567901234,0.7884790475715131,PC
Random Forest,0.782716049382716,0.7858048633901282,0.782716049382716,0.7821725484203135,PC
Gradient Boosting,0.762962962962963,0.7635781053777012,0.762962962962963,0.7618177479073187,PC
KNN,0.7012345679012346,0.7149546393217371,0.7012345679012346,0.6945171943353876,PC
Decision Tree,0.6592592592592592,0.6588312219883335,0.6592592592592592,0.6582984643372359,PC
SVM,0.817283950617284,0.8195839215259859,0.817283950617284,0.8177860850931761,RFE
Logistic Regression,0.8148148148148148,0.8156493617132127,0.8148148148148148,0.8150277114409668,RFE
ANN,0.7925925925925926,0.7953605749141763,0.7925925925925926,0.7920840720008399,RFE
Random Forest,0.7925925925925926,0.7952090649761349,0.7925925925925926,0.793446019774954,RFE
Gradient Boosting,0.7876543209876543,0.7909305207028181,0.7876543209876543,0.787383807669805,RFE
CNN,0.7753086419753087,0.7869487420822172,0.7753086419753087,0.7775845020562178,RFE
KNN,0.7061728395061728,0.7085514070595991,0.7061728395061728,0.7044032801524599,RFE
Decision Tree,0.6666666666666666,0.663335348472868,0.6666666666666666,0.6642796461652665,RFE
Logistic Regression,0.817283950617284,0.8188226267061313,0.817283950617284,0.8175521920734646,SKB
SVM,0.8148148148148148,0.8161741715825815,0.8148148148148148,0.8149774054747918,SKB
Random Forest,0.7802469135802469,0.7815733768072787,0.7802469135802469,0.7802436859517469,SKB
ANN,0.7753086419753087,0.7737700040567425,0.7753086419753087,0.7727187897521596,SKB
Gradient Boosting,0.7728395061728395,0.7745271094108304,0.7728395061728395,0.7722462573315286,SKB
CNN,0.7580246913580246,0.7642316558618168,0.7580246913580246,0.7593170217726033,SKB
KNN,0.7308641975308642,0.7363578889513804,0.7308641975308642,0.7261290712967093,SKB
Decision Tree,0.6765432098765433,0.675238217390197,0.6765432098765433,0.6756151894794775,SKB
Logistic Regression,0.8271604938271605,0.8311948509594571,0.8271604938271605,0.827344083091447,VT
CNN,0.8222222222222222,0.8258226928436269,0.8222222222222222,0.8232466543186787,VT
SVM,0.8024691358024691,0.8057832392770389,0.8024691358024691,0.8024605448632344,VT
ANN,0.7925925925925926,0.7971422986678517,0.7925925925925926,0.7909782274128753,VT
Gradient Boosting,0.7802469135802469,0.7830476653977146,0.7802469135802469,0.7809325985143423,VT
Random Forest,0.7654320987654321,0.7695604062799829,0.7654320987654321,0.7653467159945009,VT
KNN,0.7308641975308642,0.7363533319596122,0.7308641975308642,0.7289450549857195,VT
Decision Tree,0.6617283950617284,0.6713722620190413,0.6617283950617284,0.6644878327082291,VT
