Model,Accuracy,Precision,Recall,F1,Method,Optimizer
Logistic Regression,0.8271604938271605,0.8311948509594571,0.8271604938271605,0.827344083091447,vt,Bayes
Gradient Boosting,0.8024691358024691,0.8047745979946563,0.8024691358024691,0.8023937847463177,vt,Bayes
SVM,0.8074074074074075,0.8110078260133596,0.8074074074074075,0.8069850370744478,vt,Bayes
Random Forest,0.782716049382716,0.7882753143081264,0.782716049382716,0.7815920019969039,vt,Bayes
KNN,0.745679012345679,0.7642718758256991,0.745679012345679,0.7376564825687631,vt,Bayes
Decision Tree,0.7111111111111111,0.714863198880814,0.7111111111111111,0.7108946077386158,vt,Bayes
Logistic Regression,0.8345679012345679,0.8338225820613046,0.8345679012345679,0.832789288263131,etc,Bayes
SVM,0.8123456790123457,0.8122884400342653,0.8123456790123457,0.8120476274552794,etc,Bayes
Gradient Boosting,0.8,0.801146923241974,0.8,0.798427955512808,etc,Bayes
Random Forest,0.8,0.8016543086599658,0.8,0.8001267461722257,etc,Bayes
KNN,0.7432098765432099,0.7462776989827461,0.7432098765432099,0.7410388039475664,etc,Bayes
Decision Tree,0.7086419753086419,0.707323776509707,0.7086419753086419,0.7074461169362332,etc,Bayes
Logistic Regression,0.817283950617284,0.8188226267061313,0.817283950617284,0.8175521920734646,skb,Bayes
SVM,0.8098765432098766,0.8117448722030906,0.8098765432098766,0.8101731813064478,skb,Bayes
Gradient Boosting,0.7901234567901234,0.7942496871574154,0.7901234567901234,0.7882575097927089,skb,Bayes
Random Forest,0.7851851851851852,0.791651642099924,0.7851851851851852,0.7835673843123546,skb,Bayes
KNN,0.7308641975308642,0.7435198579843462,0.7308641975308642,0.7242800371447936,skb,Bayes
Decision Tree,0.6888888888888889,0.6895790853699351,0.6888888888888889,0.6863078602657031,skb,Bayes
Logistic Regression,0.8197530864197531,0.8203152249782567,0.8197530864197531,0.8199045561326264,rfe,Bayes
SVM,0.8024691358024691,0.80490113856659,0.8024691358024691,0.8025068773106744,rfe,Bayes
Random Forest,0.7876543209876543,0.7913847605695891,0.7876543209876543,0.7883692406564552,rfe,Bayes
Gradient Boosting,0.7654320987654321,0.7702332561859004,0.7654320987654321,0.7656170916547431,rfe,Bayes
Decision Tree,0.7432098765432099,0.7422719408693006,0.7432098765432099,0.7421072934847941,rfe,Bayes
KNN,0.7086419753086419,0.7109454279437571,0.7086419753086419,0.7072587684135727,rfe,Bayes
