Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec,OptFolder,SourceFile
0.7679012345679013,0.7717094703533359,0.7679012345679013,0.7688258622025148,fscs,Logistic Regression,Grid,0.2337167263031005,ofscs,grid_search_results.csv
0.7604938271604939,0.7661829143271756,0.7604938271604939,0.7615989189842602,fscs,Gradient Boosting,Grid,25.09023356437683,ofscs,grid_search_results.csv
0.6790123456790124,0.6871136094355419,0.6790123456790124,0.6750368877516603,fscs,KNN,Grid,0.4167912006378174,ofscs,grid_search_results.csv
0.7283950617283951,0.7315499162990202,0.7283950617283951,0.7279991758936514,fscs,Random Forest,Grid,3.0153822898864746,ofscs,grid_search_results.csv
0.6888888888888889,0.6948849969226314,0.6888888888888889,0.6887069679875539,fscs,Decision Tree,Grid,0.1710889339447021,ofscs,grid_search_results.csv
0.7604938271604939,0.7648758523199597,0.7604938271604939,0.76142194468571,fscs,SVM,Grid,1.8234214782714844,ofscs,grid_search_results.csv
0.7654320987654321,0.7720771877804342,0.7654320987654321,0.7664392474251562,fscs,Logistic Regression,Bayes,50.8630895614624,ofscs,bayes_search_results.csv
0.7506172839506173,0.7577400515927086,0.7506172839506173,0.7509833249214166,fscs,Gradient Boosting,Bayes,267.8295259475708,ofscs,bayes_search_results.csv
0.7160493827160493,0.7279684317221321,0.7160493827160493,0.7088993733380712,fscs,KNN,Bayes,54.5058696269989,ofscs,bayes_search_results.csv
0.7580246913580246,0.7653873285271565,0.7580246913580246,0.7577785234717297,fscs,Random Forest,Bayes,96.58349108695984,ofscs,bayes_search_results.csv
0.6765432098765433,0.6819214596730224,0.6765432098765433,0.6759702059940506,fscs,Decision Tree,Bayes,51.85858130455017,ofscs,bayes_search_results.csv
0.7604938271604939,0.7686215427692308,0.7604938271604939,0.7608654174919138,fscs,SVM,Bayes,48.448328256607056,ofscs,bayes_search_results.csv
0.8,0.7987000107476299,0.8,0.7987742016516626,etc,Logistic Regression,Randomized,3.3767905235290527,oetc,randomized_search_results.csv
0.7679012345679013,0.7686936828421638,0.7679012345679013,0.7663867478749187,etc,Gradient Boosting,Randomized,91.08933401107788,oetc,randomized_search_results.csv
0.7308641975308642,0.7381344678399884,0.7308641975308642,0.727799678806248,etc,KNN,Randomized,0.4240398406982422,oetc,randomized_search_results.csv
0.762962962962963,0.7699197675347199,0.762962962962963,0.7606640964996269,etc,Random Forest,Randomized,10.376917362213137,oetc,randomized_search_results.csv
0.6814814814814815,0.6873821991221425,0.6814814814814815,0.6789481050713788,etc,Decision Tree,Randomized,0.2823901176452636,oetc,randomized_search_results.csv
0.7703703703703704,0.7697771984167383,0.7703703703703704,0.7694161169436157,etc,SVM,Randomized,11.114720582962036,oetc,randomized_search_results.csv
0.8,0.7987540649531613,0.8,0.7984704108482832,etc,Logistic Regression,Grid,0.1765096187591552,oetc,grid_search_results.csv
0.762962962962963,0.7656276265258375,0.762962962962963,0.7639837477837735,etc,Gradient Boosting,Grid,25.52726411819458,oetc,grid_search_results.csv
0.7234567901234568,0.7265524485726188,0.7234567901234568,0.7194501915596719,etc,KNN,Grid,0.2028970718383789,oetc,grid_search_results.csv
0.745679012345679,0.7482096161180236,0.745679012345679,0.7450532326354667,etc,Random Forest,Grid,1.7500994205474854,oetc,grid_search_results.csv
0.6790123456790124,0.6864189937291789,0.6790123456790124,0.6716762853129465,etc,Decision Tree,Grid,0.0967695713043212,oetc,grid_search_results.csv
0.7901234567901234,0.7908730001540458,0.7901234567901234,0.7893032796446428,etc,SVM,Grid,3.13937783241272,oetc,grid_search_results.csv
0.8,0.7984192884368655,0.8,0.7987608641124032,etc,Logistic Regression,Bayes,45.20108914375305,oetc,bayes_search_results.csv
0.7604938271604939,0.7620834063700408,0.7604938271604939,0.7580855392724304,etc,Gradient Boosting,Bayes,247.8290433883667,oetc,bayes_search_results.csv
0.7234567901234568,0.7297413931095548,0.7234567901234568,0.7204118630212487,etc,KNN,Bayes,11.17177939414978,oetc,bayes_search_results.csv
0.7703703703703704,0.772556085497262,0.7703703703703704,0.7692755167308446,etc,Random Forest,Bayes,71.68167686462402,oetc,bayes_search_results.csv
0.7234567901234568,0.7209390262101105,0.7234567901234568,0.719512234334384,etc,Decision Tree,Bayes,45.19162106513977,oetc,bayes_search_results.csv
0.7950617283950617,0.795088613571893,0.7950617283950617,0.7938231890527154,etc,SVM,Bayes,59.55687475204468,oetc,bayes_search_results.csv
0.7901234567901234,0.7911687718850705,0.7901234567901234,0.7890762813842568,pc,Logistic Regression,Randomized,4.80306887626648,opc,randomized_search_results.csv
0.7308641975308642,0.732487049140644,0.7308641975308642,0.7283134658740048,pc,Gradient Boosting,Randomized,114.09465837478638,opc,randomized_search_results.csv
0.6839506172839506,0.6849269946638369,0.6839506172839506,0.6737213416847014,pc,KNN,Randomized,0.9555065631866456,opc,randomized_search_results.csv
0.7407407407407407,0.7439914891890497,0.7407407407407407,0.7385356949053459,pc,Random Forest,Randomized,23.201015949249268,opc,randomized_search_results.csv
0.6370370370370371,0.6388603314656242,0.6370370370370371,0.6359703166625906,pc,Decision Tree,Randomized,0.2832658290863037,opc,randomized_search_results.csv
0.7654320987654321,0.7657690451664938,0.7654320987654321,0.7653015157592012,pc,SVM,Randomized,11.073618173599243,opc,randomized_search_results.csv
0.7901234567901234,0.791502472129668,0.7901234567901234,0.7890148834596109,pc,Logistic Regression,Grid,0.2049598693847656,opc,grid_search_results.csv
0.7407407407407407,0.7398109083049174,0.7407407407407407,0.7391430865904703,pc,Gradient Boosting,Grid,30.037457704544067,opc,grid_search_results.csv
0.6666666666666666,0.6666209273811886,0.6666666666666666,0.6600883194794641,pc,KNN,Grid,0.4693715572357178,opc,grid_search_results.csv
0.7308641975308642,0.7328098783781931,0.7308641975308642,0.7310087736671844,pc,Random Forest,Grid,3.9138388633728023,opc,grid_search_results.csv
0.6493827160493827,0.6547595816557037,0.6493827160493827,0.6479783536958162,pc,Decision Tree,Grid,0.1137299537658691,opc,grid_search_results.csv
0.7753086419753087,0.7764764522312346,0.7753086419753087,0.7754009579206504,pc,SVM,Grid,2.3602969646453857,opc,grid_search_results.csv
0.7901234567901234,0.7911687718850705,0.7901234567901234,0.7890762813842568,pc,Logistic Regression,Bayes,51.77331948280335,opc,bayes_search_results.csv
0.7333333333333333,0.7374303126999194,0.7333333333333333,0.7305619168320135,pc,Gradient Boosting,Bayes,276.5047006607056,opc,bayes_search_results.csv
0.7012345679012346,0.7012650966395138,0.7012345679012346,0.6917968745046176,pc,KNN,Bayes,47.424009561538696,opc,bayes_search_results.csv
0.7333333333333333,0.7367714633057373,0.7333333333333333,0.7299997668139794,pc,Random Forest,Bayes,89.35624623298645,opc,bayes_search_results.csv
0.654320987654321,0.656482314534254,0.654320987654321,0.6551424977425775,pc,Decision Tree,Bayes,43.12727999687195,opc,bayes_search_results.csv
0.7703703703703704,0.770248309210173,0.7703703703703704,0.769947202216147,pc,SVM,Bayes,32.93023133277893,opc,bayes_search_results.csv
