Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec,OptFolder,SourceFile
0.8197530864197531,0.8203152249782567,0.8197530864197531,0.8199045561326264,rfe,Logistic Regression,Randomized,7.852846622467041,orfe,randomized_search_results.csv
0.7975308641975308,0.8017900900561836,0.7975308641975308,0.7975986584685305,rfe,Gradient Boosting,Randomized,55.492116928100586,orfe,randomized_search_results.csv
0.7333333333333333,0.7387709214910984,0.7333333333333333,0.7290127447289949,rfe,KNN,Randomized,0.3573944568634033,orfe,randomized_search_results.csv
0.7851851851851852,0.7876820556795587,0.7851851851851852,0.7858589489941338,rfe,Random Forest,Randomized,13.88455891609192,orfe,randomized_search_results.csv
0.7432098765432099,0.7427678868051715,0.7432098765432099,0.7425473696030089,rfe,Decision Tree,Randomized,0.1167230606079101,orfe,randomized_search_results.csv
0.8098765432098766,0.8112634904078471,0.8098765432098766,0.8099359290159426,rfe,SVM,Randomized,4.511521100997925,orfe,randomized_search_results.csv
0.8197530864197531,0.8203152249782567,0.8197530864197531,0.8199045561326264,rfe,Logistic Regression,Grid,0.1058168411254882,orfe,grid_search_results.csv
0.7876543209876543,0.7909305207028181,0.7876543209876543,0.787383807669805,rfe,Gradient Boosting,Grid,15.585346460342407,orfe,grid_search_results.csv
0.7160493827160493,0.7186417274978886,0.7160493827160493,0.7144413547528257,rfe,KNN,Grid,0.1080715656280517,orfe,grid_search_results.csv
0.7851851851851852,0.7885782397739673,0.7851851851851852,0.7862486863849106,rfe,Random Forest,Grid,2.24090313911438,orfe,grid_search_results.csv
0.7333333333333333,0.731089812158458,0.7333333333333333,0.7318327094457656,rfe,Decision Tree,Grid,0.0569517612457275,orfe,grid_search_results.csv
0.817283950617284,0.8195839215259859,0.817283950617284,0.8177860850931761,rfe,SVM,Grid,1.0311284065246582,orfe,grid_search_results.csv
0.8197530864197531,0.8203152249782567,0.8197530864197531,0.8199045561326264,rfe,Logistic Regression,Bayes,27.70712947845459,orfe,bayes_search_results.csv
0.7654320987654321,0.7702332561859004,0.7654320987654321,0.7656170916547431,rfe,Gradient Boosting,Bayes,126.29125094413756,orfe,bayes_search_results.csv
0.7086419753086419,0.7109454279437571,0.7086419753086419,0.7072587684135727,rfe,KNN,Bayes,12.544368982315063,orfe,bayes_search_results.csv
0.7876543209876543,0.7913847605695891,0.7876543209876543,0.7883692406564552,rfe,Random Forest,Bayes,36.62190222740173,orfe,bayes_search_results.csv
0.7432098765432099,0.7422719408693006,0.7432098765432099,0.7421072934847941,rfe,Decision Tree,Bayes,19.21714782714844,orfe,bayes_search_results.csv
0.8024691358024691,0.80490113856659,0.8024691358024691,0.8025068773106744,rfe,SVM,Bayes,23.41533851623535,orfe,bayes_search_results.csv
0.8123456790123457,0.8139160148728836,0.8123456790123457,0.8126308413592551,skb,Logistic Regression,Randomized,2.707963705062866,oskb,randomized_search_results.csv
0.7851851851851852,0.7870476132698355,0.7851851851851852,0.7846167248446817,skb,Gradient Boosting,Randomized,53.18255066871643,oskb,randomized_search_results.csv
0.7308641975308642,0.7440800708611167,0.7308641975308642,0.7246709841521097,skb,KNN,Randomized,0.2053489685058593,oskb,randomized_search_results.csv
0.7654320987654321,0.770494787714889,0.7654320987654321,0.7640471052811961,skb,Random Forest,Randomized,11.0369131565094,oskb,randomized_search_results.csv
0.671604938271605,0.6731997810347484,0.671604938271605,0.6718871276111297,skb,Decision Tree,Randomized,0.1044473648071289,oskb,randomized_search_results.csv
0.7851851851851852,0.7858009154632672,0.7851851851851852,0.785062905090419,skb,SVM,Randomized,4.15455174446106,oskb,randomized_search_results.csv
0.817283950617284,0.8188226267061313,0.817283950617284,0.8175521920734646,skb,Logistic Regression,Grid,0.1408030986785888,oskb,grid_search_results.csv
0.7728395061728395,0.7745271094108304,0.7728395061728395,0.7722462573315286,skb,Gradient Boosting,Grid,16.3880136013031,oskb,grid_search_results.csv
0.7160493827160493,0.722955934843426,0.7160493827160493,0.7079657764210064,skb,KNN,Grid,0.1141679286956787,oskb,grid_search_results.csv
0.7802469135802469,0.7815733768072787,0.7802469135802469,0.7802436859517469,skb,Random Forest,Grid,1.8079657554626465,oskb,grid_search_results.csv
0.6888888888888889,0.6895790853699351,0.6888888888888889,0.6863078602657031,skb,Decision Tree,Grid,0.0553171634674072,oskb,grid_search_results.csv
0.8148148148148148,0.8161741715825815,0.8148148148148148,0.8149774054747918,skb,SVM,Grid,0.7938282489776611,oskb,grid_search_results.csv
0.817283950617284,0.8188226267061313,0.817283950617284,0.8175521920734646,skb,Logistic Regression,Bayes,18.74762606620789,oskb,bayes_search_results.csv
0.7901234567901234,0.7942496871574154,0.7901234567901234,0.7882575097927089,skb,Gradient Boosting,Bayes,142.5077428817749,oskb,bayes_search_results.csv
0.7308641975308642,0.7435198579843462,0.7308641975308642,0.7242800371447936,skb,KNN,Bayes,14.489795923233032,oskb,bayes_search_results.csv
0.7851851851851852,0.791651642099924,0.7851851851851852,0.7835673843123546,skb,Random Forest,Bayes,33.26824164390564,oskb,bayes_search_results.csv
0.6888888888888889,0.6895790853699351,0.6888888888888889,0.6863078602657031,skb,Decision Tree,Bayes,13.643945455551147,oskb,bayes_search_results.csv
0.8098765432098766,0.8117448722030906,0.8098765432098766,0.8101731813064478,skb,SVM,Bayes,18.40078091621399,oskb,bayes_search_results.csv
0.8123456790123457,0.8154920725566921,0.8123456790123457,0.8122807720496235,fscs,Logistic Regression,Randomized,1.9279921054840088,ofscs,randomized_search_results.csv
