Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec,SourceFile
0.8246913580246914,0.8260600130950336,0.8246913580246914,0.82504274260046,rfe,Logistic Regression,Randomized,5.429934978485107,randomized_search_results.csv
0.7728395061728395,0.7761949401365853,0.7728395061728395,0.7728227473160402,rfe,Gradient Boosting,Randomized,38.62690687179565,randomized_search_results.csv
0.7654320987654321,0.7734262847823248,0.7654320987654321,0.7620476422795492,rfe,KNN,Randomized,0.3475923538208008,randomized_search_results.csv
0.7975308641975308,0.8000723024347978,0.7975308641975308,0.7979122326259211,rfe,Random Forest,Randomized,9.994890928268433,randomized_search_results.csv
0.7432098765432099,0.7418920505940791,0.7432098765432099,0.7420219286885954,rfe,Decision Tree,Randomized,0.1010770797729492,randomized_search_results.csv
0.7975308641975308,0.7982523774942076,0.7975308641975308,0.7973495156317001,rfe,SVM,Randomized,3.995262861251831,randomized_search_results.csv
0.8246913580246914,0.8263269284321917,0.8246913580246914,0.8251504829125264,rfe,Logistic Regression,Grid,0.0684618949890136,grid_search_results.csv
0.7925925925925926,0.794462390180689,0.7925925925925926,0.7926467336723944,rfe,Gradient Boosting,Grid,10.816223621368408,grid_search_results.csv
0.7802469135802469,0.7829292564824538,0.7802469135802469,0.7803636194556343,rfe,KNN,Grid,0.1628649234771728,grid_search_results.csv
0.7851851851851852,0.7854474118668802,0.7851851851851852,0.7847744419648562,rfe,Random Forest,Grid,1.7874541282653809,grid_search_results.csv
0.7333333333333333,0.7335437965268166,0.7333333333333333,0.7330037580868779,rfe,Decision Tree,Grid,0.0436012744903564,grid_search_results.csv
0.8271604938271605,0.8285186674064013,0.8271604938271605,0.8271910528461249,rfe,SVM,Grid,0.7376022338867188,grid_search_results.csv
0.8246913580246914,0.8260600130950336,0.8246913580246914,0.82504274260046,rfe,Logistic Regression,Bayes,13.453526496887209,bayes_search_results.csv
0.7975308641975308,0.7997661839946383,0.7975308641975308,0.7974977278469852,rfe,Gradient Boosting,Bayes,125.3377766609192,bayes_search_results.csv
0.762962962962963,0.7698071598952284,0.762962962962963,0.7605540906930598,rfe,KNN,Bayes,16.053714275360107,bayes_search_results.csv
0.8024691358024691,0.8055004327917001,0.8024691358024691,0.8027772192606097,rfe,Random Forest,Bayes,33.10340356826782,bayes_search_results.csv
0.7481481481481481,0.750011549202401,0.7481481481481481,0.7476454503037457,rfe,Decision Tree,Bayes,11.51259732246399,bayes_search_results.csv
0.8296296296296296,0.8308471436421224,0.8296296296296296,0.8296667285143875,rfe,SVM,Bayes,17.53764510154724,bayes_search_results.csv
0.8197530864197531,0.8221244704391296,0.8197530864197531,0.8202226688362614,skb,Logistic Regression,Randomized,1.4856882095336914,randomized_search_results.csv
0.7876543209876543,0.7930727055043532,0.7876543209876543,0.7867462807203986,skb,Gradient Boosting,Randomized,44.68578577041626,randomized_search_results.csv
0.7802469135802469,0.7857855448471581,0.7802469135802469,0.7751675082444196,skb,KNN,Randomized,0.4022502899169922,randomized_search_results.csv
0.7753086419753087,0.7815442495372515,0.7753086419753087,0.7744798691538793,skb,Random Forest,Randomized,11.019278764724731,randomized_search_results.csv
0.6839506172839506,0.6840380334329729,0.6839506172839506,0.6836015907434737,skb,Decision Tree,Randomized,0.1142194271087646,randomized_search_results.csv
0.8024691358024691,0.8092245217977183,0.8024691358024691,0.8041892097703508,skb,SVM,Randomized,3.690008640289306,randomized_search_results.csv
0.8197530864197531,0.8221244704391296,0.8197530864197531,0.8202226688362614,skb,Logistic Regression,Grid,0.0733397006988525,grid_search_results.csv
0.7950617283950617,0.7986038198052161,0.7950617283950617,0.795123671006909,skb,Gradient Boosting,Grid,11.90198302268982,grid_search_results.csv
0.7654320987654321,0.768839463121168,0.7654320987654321,0.7647560460167754,skb,KNN,Grid,0.185272216796875,grid_search_results.csv
0.7728395061728395,0.7769790193198434,0.7728395061728395,0.7721287885475714,skb,Random Forest,Grid,2.075626850128174,grid_search_results.csv
0.6617283950617284,0.6630292652473595,0.6617283950617284,0.6570183350658307,skb,Decision Tree,Grid,0.065526008605957,grid_search_results.csv
0.8148148148148148,0.8166562102811359,0.8148148148148148,0.8150580041513833,skb,SVM,Grid,0.6715512275695801,grid_search_results.csv
0.8197530864197531,0.8221244704391296,0.8197530864197531,0.8202226688362614,skb,Logistic Regression,Bayes,11.196452617645264,bayes_search_results.csv
0.7925925925925926,0.7958348295385332,0.7925925925925926,0.7934367334074997,skb,Gradient Boosting,Bayes,152.67088079452515,bayes_search_results.csv
0.7703703703703704,0.777168931770239,0.7703703703703704,0.7685862860765147,skb,KNN,Bayes,11.27238130569458,bayes_search_results.csv
0.7753086419753087,0.7815442495372515,0.7753086419753087,0.7744798691538793,skb,Random Forest,Bayes,34.019630432128906,bayes_search_results.csv
0.6864197530864198,0.6835328178204707,0.6864197530864198,0.683558511400146,skb,Decision Tree,Bayes,15.331644535064695,bayes_search_results.csv
0.8197530864197531,0.8231729244299287,0.8197530864197531,0.8200276562650167,skb,SVM,Bayes,17.864920139312744,bayes_search_results.csv
0.8197530864197531,0.8230643106543206,0.8197530864197531,0.8201039777031345,fscs,Logistic Regression,Randomized,1.0276141166687012,randomized_search_results.csv
0.7876543209876543,0.792141204220242,0.7876543209876543,0.7863031841259883,fscs,Gradient Boosting,Randomized,44.04186940193176,randomized_search_results.csv
0.7654320987654321,0.7714720050002701,0.7654320987654321,0.7650111004555679,fscs,KNN,Randomized,0.348642349243164,randomized_search_results.csv
