Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec,SourceFile
0.6888888888888889,0.6895790853699351,0.6888888888888889,0.6863078602657031,skb,Decision Tree,Bayes,15.99940276145935,bayes_search_results.csv
0.8098765432098766,0.8117448722030906,0.8098765432098766,0.8101731813064478,skb,SVM,Bayes,17.911110401153564,bayes_search_results.csv
0.8123456790123457,0.8154920725566921,0.8123456790123457,0.8122807720496235,fscs,Logistic Regression,Randomized,1.792893409729004,randomized_search_results.csv
0.7703703703703704,0.7755843811430994,0.7703703703703704,0.7709914741947944,fscs,Gradient Boosting,Randomized,48.14320969581604,randomized_search_results.csv
0.7333333333333333,0.7426338056871029,0.7333333333333333,0.7299951273908017,fscs,KNN,Randomized,0.1969606876373291,randomized_search_results.csv
0.7876543209876543,0.7957695739697481,0.7876543209876543,0.788027600862123,fscs,Random Forest,Randomized,11.718065977096558,randomized_search_results.csv
0.7654320987654321,0.7674260542154135,0.7654320987654321,0.7646295158153993,fscs,Decision Tree,Randomized,0.1027448177337646,randomized_search_results.csv
0.8074074074074075,0.8118006361983252,0.8074074074074075,0.8075915406218758,fscs,SVM,Randomized,3.940040826797485,randomized_search_results.csv
0.8123456790123457,0.8155548478409701,0.8123456790123457,0.8120920092624855,fscs,Logistic Regression,Grid,0.1050593852996826,grid_search_results.csv
0.7679012345679013,0.7713427754195777,0.7679012345679013,0.7671840699094368,fscs,Gradient Boosting,Grid,13.635791063308716,grid_search_results.csv
0.7185185185185186,0.7300181890795585,0.7185185185185186,0.7149767412203107,fscs,KNN,Grid,0.0993859767913818,grid_search_results.csv
0.7925925925925926,0.7999524412609298,0.7925925925925926,0.7924190840764619,fscs,Random Forest,Grid,1.903627157211304,grid_search_results.csv
0.7382716049382716,0.7427508966189749,0.7382716049382716,0.7360710670113874,fscs,Decision Tree,Grid,0.0519063472747802,grid_search_results.csv
0.8074074074074075,0.81208438370086,0.8074074074074075,0.8081479262977438,fscs,SVM,Grid,0.7973136901855469,grid_search_results.csv
0.8123456790123457,0.8154920725566921,0.8123456790123457,0.8122807720496235,fscs,Logistic Regression,Bayes,11.28580093383789,bayes_search_results.csv
0.7851851851851852,0.788567211174095,0.7851851851851852,0.7842117237177626,fscs,Gradient Boosting,Bayes,123.77592325210573,bayes_search_results.csv
0.7185185185185186,0.7300181890795585,0.7185185185185186,0.7149767412203107,fscs,KNN,Bayes,12.032498359680176,bayes_search_results.csv
0.7925925925925926,0.7980816666728314,0.7925925925925926,0.7924792394759173,fscs,Random Forest,Bayes,32.6605076789856,bayes_search_results.csv
0.7481481481481481,0.7483170846913537,0.7481481481481481,0.7450101064711735,fscs,Decision Tree,Bayes,11.373058557510376,bayes_search_results.csv
0.8098765432098766,0.8144466032956674,0.8098765432098766,0.8105381261422553,fscs,SVM,Bayes,17.67272663116455,bayes_search_results.csv
0.8345679012345679,0.8338225820613046,0.8345679012345679,0.832789288263131,etc,Logistic Regression,Randomized,2.2737081050872803,randomized_search_results.csv
0.7679012345679013,0.7716404825898794,0.7679012345679013,0.7684684170409531,etc,Gradient Boosting,Randomized,45.70702385902405,randomized_search_results.csv
0.745679012345679,0.7514664874702593,0.745679012345679,0.7407040729045086,etc,KNN,Randomized,0.2139432430267334,randomized_search_results.csv
0.7925925925925926,0.7950284185728083,0.7925925925925926,0.7929921095517803,etc,Random Forest,Randomized,10.95757818222046,randomized_search_results.csv
0.7086419753086419,0.7109606770929231,0.7086419753086419,0.7087054683308693,etc,Decision Tree,Randomized,0.108670949935913,randomized_search_results.csv
0.8098765432098766,0.8096025076391195,0.8098765432098766,0.809554734717158,etc,SVM,Randomized,3.736315727233887,randomized_search_results.csv
0.837037037037037,0.8362229075855199,0.837037037037037,0.8352659253549224,etc,Logistic Regression,Grid,0.1237578392028808,grid_search_results.csv
0.782716049382716,0.7839205050102555,0.782716049382716,0.7832169762723116,etc,Gradient Boosting,Grid,13.885889530181885,grid_search_results.csv
0.7432098765432099,0.7462776989827461,0.7432098765432099,0.7410388039475664,etc,KNN,Grid,0.1047327518463134,grid_search_results.csv
0.7950617283950617,0.7962616685473937,0.7950617283950617,0.795313275647799,etc,Random Forest,Grid,1.947265386581421,grid_search_results.csv
0.6790123456790124,0.7071910471412596,0.6790123456790124,0.6852876143124884,etc,Decision Tree,Grid,0.0576412677764892,grid_search_results.csv
0.817283950617284,0.8172547855549477,0.817283950617284,0.8169387445988223,etc,SVM,Grid,0.7392663955688477,grid_search_results.csv
0.8345679012345679,0.8338225820613046,0.8345679012345679,0.832789288263131,etc,Logistic Regression,Bayes,11.959124565124512,bayes_search_results.csv
0.8,0.801146923241974,0.8,0.798427955512808,etc,Gradient Boosting,Bayes,123.53665232658386,bayes_search_results.csv
0.7432098765432099,0.7462776989827461,0.7432098765432099,0.7410388039475664,etc,KNN,Bayes,17.1588876247406,bayes_search_results.csv
0.8,0.8016543086599658,0.8,0.8001267461722257,etc,Random Forest,Bayes,33.61452507972717,bayes_search_results.csv
0.7086419753086419,0.707323776509707,0.7086419753086419,0.7074461169362332,etc,Decision Tree,Bayes,13.481279611587524,bayes_search_results.csv
0.8123456790123457,0.8122884400342653,0.8123456790123457,0.8120476274552794,etc,SVM,Bayes,20.9021954536438,bayes_search_results.csv
0.8296296296296296,0.8309320227414098,0.8296296296296296,0.8296261879707718,pc,Logistic Regression,Randomized,2.23016619682312,randomized_search_results.csv
0.8024691358024691,0.8041667333773678,0.8024691358024691,0.8021147543837346,pc,Gradient Boosting,Randomized,43.73461270332336,randomized_search_results.csv
0.7012345679012346,0.7139559090432231,0.7012345679012346,0.6888591579905635,pc,KNN,Randomized,0.1929011344909668,randomized_search_results.csv
0.7679012345679013,0.7734790150536774,0.7679012345679013,0.7666031319148021,pc,Random Forest,Randomized,11.891178607940674,randomized_search_results.csv
0.6691358024691358,0.6686252847988486,0.6691358024691358,0.6680273166685737,pc,Decision Tree,Randomized,0.1180422306060791,randomized_search_results.csv
0.8049382716049382,0.8052506042181351,0.8049382716049382,0.8049225162003452,pc,SVM,Randomized,3.979808807373047,randomized_search_results.csv
0.8296296296296296,0.8309320227414098,0.8296296296296296,0.8296261879707718,pc,Logistic Regression,Grid,0.1041901111602783,grid_search_results.csv
