Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec,SourceFile
0.7876543209876543,0.7879100229434902,0.7876543209876543,0.7868788029704153,rfe,Logistic Regression,Randomized,5.382321119308472,randomized_search_results.csv
0.7654320987654321,0.7707390295281243,0.7654320987654321,0.7661332782853902,rfe,Gradient Boosting,Randomized,43.66135430335999,randomized_search_results.csv
0.7333333333333333,0.7405905941783208,0.7333333333333333,0.7305845760163577,rfe,KNN,Randomized,0.4965956211090088,randomized_search_results.csv
0.762962962962963,0.7706172109410685,0.762962962962963,0.7642620668724472,rfe,Random Forest,Randomized,12.871667861938477,randomized_search_results.csv
0.7111111111111111,0.7115649273078809,0.7111111111111111,0.7099328509508274,rfe,Decision Tree,Randomized,0.1783714294433593,randomized_search_results.csv
0.7777777777777778,0.7781809274181074,0.7777777777777778,0.777325863642584,rfe,SVM,Randomized,5.37824559211731,randomized_search_results.csv
0.7876543209876543,0.7886274129339851,0.7876543209876543,0.7871443551932665,rfe,Logistic Regression,Grid,0.0791835784912109,grid_search_results.csv
0.7358024691358025,0.7393271898229653,0.7358024691358025,0.735712304154863,rfe,Gradient Boosting,Grid,17.57552194595337,grid_search_results.csv
0.7209876543209877,0.7289332466808021,0.7209876543209877,0.718708320396207,rfe,KNN,Grid,0.2221448421478271,grid_search_results.csv
0.7679012345679013,0.7746309979758615,0.7679012345679013,0.7688641297362491,rfe,Random Forest,Grid,2.363003969192505,grid_search_results.csv
0.6888888888888889,0.7036492953405539,0.6888888888888889,0.683657757475706,rfe,Decision Tree,Grid,0.0700044631958007,grid_search_results.csv
0.7753086419753087,0.7779815650595793,0.7753086419753087,0.7747174599193378,rfe,SVM,Grid,0.8830196857452393,grid_search_results.csv
0.7876543209876543,0.7886274129339851,0.7876543209876543,0.7871443551932665,rfe,Logistic Regression,Bayes,10.388208627700806,bayes_search_results.csv
0.7654320987654321,0.7687602628012322,0.7654320987654321,0.7659902298228127,rfe,Gradient Boosting,Bayes,171.93447041511536,bayes_search_results.csv
0.7135802469135802,0.7201249536379026,0.7135802469135802,0.7114143025946372,rfe,KNN,Bayes,16.972201108932495,bayes_search_results.csv
0.7802469135802469,0.7873793705992711,0.7802469135802469,0.7818311490464626,rfe,Random Forest,Bayes,42.67697978019714,bayes_search_results.csv
0.7037037037037037,0.7070987701557286,0.7037037037037037,0.7036571630931329,rfe,Decision Tree,Bayes,13.43692708015442,bayes_search_results.csv
0.7703703703703704,0.7734883765775706,0.7703703703703704,0.7700708360193131,rfe,SVM,Bayes,18.355096340179443,bayes_search_results.csv
0.7901234567901234,0.7911687718850705,0.7901234567901234,0.7890762813842568,skb,Logistic Regression,Randomized,2.45670485496521,randomized_search_results.csv
0.7308641975308642,0.732487049140644,0.7308641975308642,0.7283134658740048,skb,Gradient Boosting,Randomized,61.93075656890869,randomized_search_results.csv
0.6839506172839506,0.6849269946638369,0.6839506172839506,0.6737213416847014,skb,KNN,Randomized,0.3705623149871826,randomized_search_results.csv
0.7283950617283951,0.733476302604843,0.7283950617283951,0.7257046933493324,skb,Random Forest,Randomized,11.071218013763428,randomized_search_results.csv
0.6320987654320988,0.6337864457444893,0.6320987654320988,0.6309898433334105,skb,Decision Tree,Randomized,0.1110165119171142,randomized_search_results.csv
0.7654320987654321,0.7657690451664938,0.7654320987654321,0.7653015157592012,skb,SVM,Randomized,4.349344253540039,randomized_search_results.csv
0.7901234567901234,0.791502472129668,0.7901234567901234,0.7890148834596109,skb,Logistic Regression,Grid,0.0981895923614502,grid_search_results.csv
0.7432098765432099,0.7423291532614339,0.7432098765432099,0.7414733879242686,skb,Gradient Boosting,Grid,18.76451802253723,grid_search_results.csv
0.6666666666666666,0.6666209273811886,0.6666666666666666,0.6600883194794641,skb,KNN,Grid,0.1879019737243652,grid_search_results.csv
0.7432098765432099,0.743629151155229,0.7432098765432099,0.7418926609578359,skb,Random Forest,Grid,1.8987398147583008,grid_search_results.csv
0.6493827160493827,0.6547595816557037,0.6493827160493827,0.6479783536958162,skb,Decision Tree,Grid,0.0439028739929199,grid_search_results.csv
0.7753086419753087,0.7764764522312346,0.7753086419753087,0.7754009579206504,skb,SVM,Grid,0.7020630836486816,grid_search_results.csv
0.7901234567901234,0.7911687718850705,0.7901234567901234,0.7890762813842568,skb,Logistic Regression,Bayes,16.61738657951355,bayes_search_results.csv
0.7358024691358025,0.7395999764822148,0.7358024691358025,0.7342404678005106,skb,Gradient Boosting,Bayes,131.90539145469666,bayes_search_results.csv
0.691358024691358,0.6911180840593358,0.691358024691358,0.6866427217632998,skb,KNN,Bayes,16.242398023605347,bayes_search_results.csv
0.7358024691358025,0.7383691723064337,0.7358024691358025,0.7335454690430419,skb,Random Forest,Bayes,35.36924743652344,bayes_search_results.csv
0.6320987654320988,0.6348649644505897,0.6320987654320988,0.6332504093627309,skb,Decision Tree,Bayes,17.158063888549805,bayes_search_results.csv
0.7703703703703704,0.770248309210173,0.7703703703703704,0.769947202216147,skb,SVM,Bayes,19.897526741027832,bayes_search_results.csv
0.7679012345679013,0.7717094703533359,0.7679012345679013,0.7688258622025148,fscs,Logistic Regression,Randomized,1.017099142074585,randomized_search_results.csv
0.7333333333333333,0.7362860136999189,0.7333333333333333,0.7340543646066814,fscs,Gradient Boosting,Randomized,48.79501223564148,randomized_search_results.csv
0.7160493827160493,0.7294690141897502,0.7160493827160493,0.7072920646443306,fscs,KNN,Randomized,0.6482479572296143,randomized_search_results.csv
0.7555555555555555,0.7640729911197748,0.7555555555555555,0.7552197967419397,fscs,Random Forest,Randomized,19.84798574447632,randomized_search_results.csv
0.6691358024691358,0.6714485028561408,0.6691358024691358,0.6683848787497021,fscs,Decision Tree,Randomized,0.1098089218139648,randomized_search_results.csv
0.7382716049382716,0.7404732312345481,0.7382716049382716,0.7381185240487745,fscs,SVM,Randomized,5.61699366569519,randomized_search_results.csv
0.7679012345679013,0.7717094703533359,0.7679012345679013,0.7688258622025148,fscs,Logistic Regression,Grid,0.0937297344207763,grid_search_results.csv
0.7604938271604939,0.7661829143271756,0.7604938271604939,0.7615989189842602,fscs,Gradient Boosting,Grid,12.66056752204895,grid_search_results.csv
